Country,Reading Score,Reading Rank,Math Score,Math Rank,Science Score,Science Rank,Total Country Score
Singapore,535.100154,1,564.1896782,1,555.5746796,1,1655
Hong Kong (China),526.67534,2,547.9310494,2,523.2774478,9,1598
Japan,515.9584799,8,532.4398722,5,538.3947511,2,1587
Macao (China),508.6905185,12,543.8077757,3,528.5496002,6,1581
Estonia,519.142855,6,519.5291323,9,534.1937421,3,1573
Chinese Taipei,497.0990919,23,542.3214667,4,532.3474544,4,1572
Canada,526.6678054,3,515.647428,10,527.7046842,7,1570
Finland,526.4247471,4,511.076853,13,530.6611589,5,1568
Korea,517.4367097,7,524.1062163,7,515.8099115,11,1557
B-S-J-G (China),493.9412123,27,531.296133,6,517.7792811,10,1543
Slovenia,505.2158806,14,509.9196321,14,512.8635786,13,1528
Ireland,520.8148413,5,503.7219974,18,502.5751155,19,1527
Germany,509.1041387,11,505.9712824,16,509.1406472,16,1524
Netherlands,502.9590512,15,512.2527898,11,508.5748061,17,1524
Switzerland,492.1982286,28,521.2505752,8,505.5058155,18,1519
New Zealand,509.2707126,10,495.2232564,21,513.3035122,12,1518
Norway,513.1911728,9,501.7298149,19,498.4811091,24,1513
Denmark,499.8145841,18,511.0876318,12,501.936887,21,1513
Poland,505.6970704,13,504.4692514,17,501.4353318,22,1512
Belgium,498.5241892,20,506.9843624,15,501.9997137,20,1508
Australia,502.9005598,16,493.8962313,25,509.9938542,14,1507
Viet Nam,486.773764,32,494.5183114,22,524.6445195,8,1506
United Kingdom,497.9719311,22,492.4785307,27,509.2215029,15,1500
Portugal,498.1289056,21,491.6269679,29,501.1000622,23,1491
France,499.3061419,19,492.9204018,26,494.9776004,27,1487
Sweden,500.1556066,17,493.9181221,24,493.4223562,28,1487
Austria,484.8655971,33,496.7422739,20,495.0374864,26,1477
Russia,494.6278325,26,494.0600303,23,486.631041,32,1475
Spain,495.5764353,25,485.8432173,32,492.7861361,30,1474
Czech Republic,487.2501413,30,492.325438,28,492.8300483,29,1472
United States,496.9350973,24,469.6284918,40,496.2424342,25,1463
Latvia,487.7580985,29,482.3050717,34,490.2250184,31,1460
Italy,484.7579961,34,489.7287308,30,480.5467624,34,1455
Luxembourg,481.4390973,36,485.7706282,33,482.8063836,33,1450
Iceland,481.525541,35,488.0331844,31,473.2300862,39,1443
Croatia,486.8631863,31,464.0400992,41,475.3911767,37,1426
Lithuania,472.4065522,39,478.3833818,36,475.4089465,36,1426
Hungary,469.5232579,40,476.8308808,37,476.7475124,35,1423
Israel,478.9606427,37,469.6694541,39,466.5528122,40,1415
CABA (Argentina),475.3323102,38,456.2955894,43,475.1865982,38,1407
Malta,446.6661425,44,478.6447937,35,464.7819647,41,1390
Slovak Republic,452.5143369,43,475.2301053,38,460.7748558,42,1389
Greece,467.0395379,41,453.6298507,44,454.8288166,44,1375
Kazakhstan (2015),427.1410203,54,459.8159944,42,456.4835759,43,1343
Chile,458.5708761,42,422.6713579,50,446.9560664,45,1328
Malaysia (2015),430.5781963,50,446.1097772,45,442.9475209,47,1320
Bulgaria,431.7175328,49,441.1899194,47,445.7719579,46,1319
Cyprus,442.8314332,45,437.1285236,48,432.5767656,51,1313
Romania,433.616598,47,443.9543153,46,434.8848618,50,1312
United Arab Emirates,433.5422904,48,427.4827391,49,436.731148,48,1298
Uruguay,436.5721315,46,417.9918829,53,435.3629563,49,1290
Turkey,428.3350926,51,420.4539795,51,425.4895089,55,1274
Trinidad and Tobago,427.273253,53,417.2433959,55,424.5904546,56,1269
Argentina (2015),425.3031194,56,409.0333278,58,432.226248,52,1267
Moldova,416.2292623,59,419.6635215,52,427.9978057,53,1264
Montenegro,426.8844776,55,417.9341247,54,411.3136482,62,1256
Costa Rica,427.4875482,52,400.2533729,62,419.6080331,58,1247
Mexico,423.2764792,58,408.0234776,59,415.7098829,61,1247
Albania (2015),405.2587601,63,413.1570211,57,427.2249827,54,1246
Thailand,409.1301154,60,415.4637999,56,421.337326,57,1246
Colombia,424.905167,57,389.6438278,64,415.7287606,60,1230
Qatar,401.887331,64,402.400635,61,417.6111299,59,1222
Georgia,401.2881351,65,403.8332295,60,411.1315239,63,1216
Jordan,408.1021974,61,380.2590104,67,408.6691133,64,1197
Indonesia,397.2594943,67,386.1095915,66,403.0997454,65,1186
Brazil,407.3485923,62,377.0695234,68,400.6821031,66,1185
Peru,397.5414392,66,386.560588,65,396.6836485,67,1181
Lebanon,346.5489769,73,396.2496525,63,386.4853723,68,1129
Tunisia,361.055509,68,366.8179855,70,386.4033666,69,1114
FYROM,351.7415486,70,371.3114287,69,383.6823876,70,1107
Kosovo,347.1259029,72,361.5339806,71,378.4421851,71,1087
Algeria,349.8592525,71,359.606217,72,375.7451021,72,1085
Dominican Republic,357.7376964,69,327.7020252,73,331.6388272,73,1017
